"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 26 16:32:13 GMT 2020","Wed Aug 26 16:32:13 GMT 2020","7","","Labels","","Delete existing label via api","","Delete existing label via api",""
"passed","Wed Aug 26 16:32:13 GMT 2020","Wed Aug 26 16:32:13 GMT 2020","6","","Milestones","","Close existing milestone for authorized user","","Close existing milestone for authorized user",""
"broken","Wed Aug 26 16:32:13 GMT 2020","Wed Aug 26 16:32:13 GMT 2020","15","","Labels","","Add label to existing issue for authorized user","","Add label to existing issue for authorized user",""
"broken","Wed Aug 26 16:32:13 GMT 2020","Wed Aug 26 16:32:13 GMT 2020","9","","Labels","","Delete existing label for authorized user","","Delete existing label for authorized user",""
"passed","Wed Aug 26 16:32:13 GMT 2020","Wed Aug 26 16:32:13 GMT 2020","13","","Labels","","Create new label via api","","Create new label via api",""
"passed","Wed Aug 26 16:32:13 GMT 2020","Wed Aug 26 16:32:13 GMT 2020","19","","Milestones","","Create new milestone for authorized user","","Create new milestone for authorized user",""
"passed","Wed Aug 26 16:32:13 GMT 2020","Wed Aug 26 16:32:13 GMT 2020","13","","Labels","","Create new label for authorized user","","Create new label for authorized user",""
