"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 13 02:34:01 GMT 2020","Tue Oct 13 02:34:01 GMT 2020","12","","Labels","","Create new label via api","","Create new label via api",""
"broken","Tue Oct 13 02:34:01 GMT 2020","Tue Oct 13 02:34:01 GMT 2020","5","","Labels","","Delete existing label for authorized user","","Delete existing label for authorized user",""
"passed","Tue Oct 13 02:34:01 GMT 2020","Tue Oct 13 02:34:01 GMT 2020","3","","Labels","","Create new label for authorized user","","Create new label for authorized user",""
"passed","Tue Oct 13 02:34:01 GMT 2020","Tue Oct 13 02:34:01 GMT 2020","5","","Labels","","Delete existing label via api","","Delete existing label via api",""
"passed","Tue Oct 13 02:34:01 GMT 2020","Tue Oct 13 02:34:01 GMT 2020","4","","Milestones","","Close existing milestone for authorized user","","Close existing milestone for authorized user",""
"broken","Tue Oct 13 02:34:01 GMT 2020","Tue Oct 13 02:34:01 GMT 2020","11","","Labels","","Add label to existing issue for authorized user","","Add label to existing issue for authorized user",""
"passed","Tue Oct 13 02:34:01 GMT 2020","Tue Oct 13 02:34:01 GMT 2020","5","","Milestones","","Create new milestone for authorized user","","Create new milestone for authorized user",""
